Kinase	Z	method	AvgZ
PKCH	3.13	710317402>0.2	1.27
NMO	-2.85	710317402>0.2	-2.152
DMPK	2.77	710317402>0.2	2.7333333333333334
PIM	2.32	710317402>0.2	1.9986666666666666
PLK	-2.26	710317402>0.2	-2.0366666666666666
RAD53	2.04	710317402>0.2	1.3086666666666666
RIPK	-2.04	710317402>0.2	-1.5473333333333332
DYRK	-1.95	710317402>0.2	-2.1033333333333335
JNK	-1.92	710317402>0.2	-1.8426666666666667
PKN	1.78	710317402>0.2	1.3886666666666667
PAKB	1.74	710317402>0.2	1.2686666666666666
MAPKAPK	1.6	710317402>0.2	1.1826666666666668
AMPK	1.56	710317402>0.2	2.2053333333333334
AKT	1.54	710317402>0.2	2.1213333333333333
RSK	1.45	710317402>0.2	1.946
CDK	-1.44	710317402>0.2	-1.4633333333333334
IKK	-1.42	710317402>0.2	-1.2813333333333334
BARK2	-1.39	710317402>0.2	-1.0946666666666667
STE11	-1.3	710317402>0.2	-1.036
P38	-1.3	710317402>0.2	-1.6726666666666667
KHS	1.28	710317402>0.2	0.8153333333333334
WNK	1.23	710317402>0.2	0.378
TAO	1.22	710317402>0.2	1.702
ERK	-1.21	710317402>0.2	-1.6533333333333333
PAKA	1.2	710317402>0.2	1.3113333333333332
HAL	-1.19	710317402>0.2	-0.8873333333333333
NUAK	-1.17	710317402>0.2	-0.8766666666666667
STE7	-1.17	710317402>0.2	-0.85
TLK	-1.16	710317402>0.2	-0.8866666666666666
TTK	-1.14	710317402>0.2	-0.882
NAK	-1.14	710317402>0.2	-0.8726666666666667
PDHK	1.11	710317402>0.2	1.0206666666666666
GRK	-1.08	710317402>0.2	-0.7013333333333334
FRAY	1.01	710317402>0.2	0.2553333333333333
VRK1	0.94	710317402>0.2	-0.5786666666666667
COT	0.93	710317402>0.2	0.3486666666666667
IRAK	-0.9	710317402>0.2	-0.6773333333333333
CK2	-0.9	710317402>0.2	-0.746
PASK	-0.83	710317402>0.2	-0.6246666666666667
CAMKK	-0.82	710317402>0.2	-0.624
BUD32	-0.82	710317402>0.2	-0.616
BRSK	-0.82	710317402>0.2	-0.622
NIK	-0.81	710317402>0.2	-0.612
MOS	-0.81	710317402>0.2	-0.6313333333333333
SLK	-0.8	710317402>0.2	-0.6166666666666667
CLK	-0.79	710317402>0.2	-0.6153333333333333
NEK	0.78	710317402>0.2	0.44266666666666665
ULK	-0.77	710317402>0.2	-0.6193333333333333
PKA	0.76	710317402>0.2	1.794
DAPK	-0.72	710317402>0.2	-0.47733333333333333
CHK1	-0.68	710317402>0.2	-0.7026666666666667
MLK	-0.64	710317402>0.2	-0.9873333333333333
CAMK1	-0.62	710317402>0.2	-0.03866666666666667
ATM	-0.6	710317402>0.2	-0.44533333333333336
PEK	0.56	710317402>0.2	0.3646666666666667
PHK	0.53	710317402>0.2	0.4166666666666667
PKCD	0.52	710317402>0.2	0.026666666666666672
CK1	-0.51	710317402>0.2	0.17066666666666666
ATR	0.48	710317402>0.2	0.654
PKCA	0.44	710317402>0.2	0.28933333333333333
QIK	-0.44	710317402>0.2	-0.48866666666666664
PKCI	0.41	710317402>0.2	0.7053333333333334
MSN	0.41	710317402>0.2	0.34
MELK	0.4	710317402>0.2	0.3806666666666667
AUR	0.38	710317402>0.2	-0.11666666666666667
CAMK2	-0.37	710317402>0.2	-0.06466666666666668
PKG	0.34	710317402>0.2	1.3533333333333333
PKD	0.33	710317402>0.2	0.456
MARK	-0.33	710317402>0.2	0.011333333333333327
PDK1	-0.32	710317402>0.2	-0.8486666666666667
SGK	0.29	710317402>0.2	0.8133333333333334
LKB	-0.24	710317402>0.2	-0.6086666666666667
RAF	0.19	710317402>0.2	0.27666666666666667
STKR	0.18	710317402>0.2	0.5053333333333333
GSK	-0.15	710317402>0.2	-0.7713333333333333
PRKDC	0.13	710317402>0.2	0.16666666666666666
MST	0.04	710317402>0.2	-0.9873333333333334
MTOR	0.03	710317402>0.2	-0.13933333333333334
NDR	-0.02	710317402>0.2	0.402
MLCK	0	710317402>0.2	0.038000000000000006
DMPK	2.78	710317402>0.3	2.7333333333333334
PLK	-2.73	710317402>0.3	-2.0366666666666666
NMO	-2.72	710317402>0.3	-2.152
PIM	2.33	710317402>0.3	1.9986666666666666
RIPK	-2.33	710317402>0.3	-1.5473333333333332
DYRK	-2.14	710317402>0.3	-2.1033333333333335
JNK	-2.11	710317402>0.3	-1.8426666666666667
AKT	2.05	710317402>0.3	2.1213333333333333
RAD53	2.03	710317402>0.3	1.3086666666666666
RSK	1.94	710317402>0.3	1.946
